"Player","Rank","ADP","Diff","Finish2024","Team","Pos","PosRank","Notes","Id"
"D.J. Moore","60","45.7","-0.31","70","CHI","WR","33","","47f49002-0e7d-4f51-9a15-525ef6397fde"
"TreVeyon Henderson","61","53.6","-0.14","","NE","RB","20","Rookie","e04ddd15-a5ab-41e8-82b2-3dfc90a2c893"
"Jauan Jennings","62","69.5","0.11","53","SF","WR","34","","2d542871-3989-447d-89e6-9dcfbd6894e6"
"Jameson Williams","63","46.8","-0.35","51","DET","WR","35","","c3a3bd66-d55d-44f7-98f6-78450678fa87"
"Stefon Diggs","64","69.9","0.08","50","NE","WR","36","","e57459d1-a8ea-4e55-909d-06b378e09b02"
"Rome Odunze","65","61.8","-0.05","145","CHI","WR","37","","be004901-0a0f-41cd-ab83-c0d8d7ad916d"
"Chris Olave","66","65.4","-0.01","98","NO","WR","38","","1b2c7c20-e458-454d-be39-7aaebabf1e30"
"RJ Harvey","67","61.4","-0.09","","DEN","RB","21","Rookie","fbc4cce8-3964-402c-a0a6-dbe13b5ebd86"
"David Montgomery","68","73.1","0.07","31","DET","RB","22","","e4bcd565-12d4-4b4c-91b1-1b72541b24e2"
"Emeka Egbuka","69","70.9","0.03","","TB","WR","39","Rookie","a41974fe-71b2-408e-847d-86405b104654"
"Deebo Samuel","70","66.9","-0.05","94","WAS","WR","40","","533aaf00-6105-4dc7-9e32-ee6e0e78a66a"
"Patrick Mahomes","71","83.4","0.15","114","KC","QB","6","","4808cc03-7e41-4c33-974f-a1701a98324c"
"Isiah Pacheco","72","73.1","0.02","172","KC","RB","23","","467dd20b-81e4-42a3-837a-ed937702925e"
"Tony Pollard","73","77.8","0.06","62","TEN","RB","24","","5c510a1a-d9f3-47c5-8c7f-c9c7d0968dd5"
"Jerry Jeudy","74","70","-0.06","55","CLE","WR","41","","c34084aa-c044-4695-81ee-6328f98c591c"
"Ricky Pearsall","75","65.6","-0.14","92","SF","WR","42","","812a947e-6ecc-43ce-9572-ac9da7cc4bcb"
"Jordan Addison","76","73.6","-0.03","43","MIN","WR","43","1-3 game suspension likely","411b0cfe-9139-43a5-a95c-748758368d75"
"Sam LaPorta","77","74.7","-0.03","103","DET","TE","4","","a259e591-fec1-4185-a0b2-43a434cc9f49"
"Aaron Jones","78","82.7","0.06","45","MIN","RB","25","","f50101bc-fbfa-4a82-a625-c11c479cfbe8"
"D'Andre Swift","79","67.4","-0.19","63","CHI","RB","26","","94224657-62c9-4238-86f2-ba2c07ce0e4b"
"Josh Downs","81","82.8","0.02","67","IND","WR","44","","2965705e-121c-4f6f-a67e-200c1f221343"
"Michael Pittman Jr.","82","95.4","0.14","122","IND","WR","45","","1589e799-5723-4f51-a99a-817c1f5d9a61"
"Darnell Mooney","83","95.1","0.13","71","ATL","WR","46","","eefaafc6-b10a-4794-a6dc-4233a1c2263f"
"Joe Mixon","84","83.1","-0.01","8","HOU","RB","27","","9da4da3d-00e5-494d-9b92-dd875a92a9c1"
"Travis Etienne Jr.","85","101","0.22","182","JAX","RB","28","","fb9df616-a7a2-4339-ab1a-b3e5dfd2278b"
"Kaleb Johnson","86","69.1","-0.23","","PIT","RB","29","Rookie","ea213cff-af5a-4902-b17d-14591284ccac"
"Brian Robinson Jr.","87","86.1","0","72","WAS","RB","30","","d163492c-f926-4cb9-96fc-b93759e92541"
"Brock Purdy","88","102.9","0.14","97","SF","QB","7","","a9944d33-2618-448b-9dfb-73b9a43b1296"
